Average,,51,68,,,"2,754","8,081",84.28,104.40,188.69,62.66,301.14%,25.40,,,,,,,,
300,Warner Bros.,60,90,Sacrifice,Action,3103,22844,210.61,245.45,456.07,65.00,701.64%,70.9,,,,,210614939,245453242,456068181,65000000
3:10 to Yuma,Lionsgate,88,85,sacrifice,Western,2652,5292,53.61,16.17,69.78,48.00,145.38%,14,,,,,53606916,16173815,69780731,48000000
30 Days of Night,Independent,50,57,Monster Force,Horror,2855,5587,39.57,35.53,75.10,32.00,234.67%,15.6,,,,,39568996,35526091,75095087,32000000
Across the Universe,Independent,54,84,Love,Romance,954,4009,24.34,5.02,29.37,45.00,65.26%,3.8,,,,,$24343673,5023470,$29367143,45000000
Alien vs. Predator -- Requiem,Fox,14,37,Monster Force,Horror,2611,3853,41.80,87.09,128.88,40.00,322.21%,10,,,,,41797066,87086650,128883716,40000000
Alvin and the Chipmunks,Fox,26,73,Comedy,Animation,3475,12750,217.33,143.14,360.47,70.00,514.95%,44.3,,,,,217326974,143138914,360465888,70000000
American Gangster,Universal,79,87,pursuit,Thriller,3054,14264,130.16,137.74,267.90,100.00,267.90%,43.6,,,,,130164645,137737769,267902414,100000000
Bee Movie,Paramount,52,57,Journey and Return,Animation,3928,9679,126.63,160.49,287.12,150.00,191.42%,38,,,,,126631277,160492289,287123566,150000000
Beowulf,Paramount,71,52,Journey and Return,Action,3153,8726,82.20,114.07,196.26,150.00,130.84%,27.5,,,,,82195215,114068876,196264091,150000000
Blades of Glory,Paramount,69,66,Rivalry,Comedy,3372,9790,118.59,27.11,145.71,61.00,238.87%,33,,,,,118594548,27114094,145708642,61000000
Charlie Wilson's War,Universal,82,73,Discovery,Biography,2575,3750,66.66,51.81,118.48,75.00,157.97%,9.6,,,,,66661095,51814126,118475221,75000000
Daddy Day Camp,Sony,1,63,Comedy,Comedy,2332,1459,13.24,4.96,18.20,6.00,303.29%,3.4,,,,,$13235267,4962131,$18197398,6000000
Disturbia,Paramount,67,75,Pursuit,Thriller,2925,7598,80.21,37.55,117.76,20.00,588.80%,22.2,,,,,80209692,37550442,117760134,20000000
Dragon Wars (aka D-War),Mediaplex,27,44,Monster Force,Action,2277,2213,10.98,63.27,74.25,75.00,99.00%,5,,,,,$10977721,63274132,$74251853,75000000
Enchanted,Disney,93,80,Love,Comedy,3730,9233,127.81,212.68,340.49,85.00,400.57%,34.4,,,,,127807262,212680390,340487652,85000000
Epic Movie,Independent,2,38,Comedy,Comedy,2801,6644,39.74,47.13,86.87,20.00,434.33%,18.6,,,,,39739367,47126197,86865564,20000000
Evan Almighty,Universal,23,56,Comedy,Comedy,3604,8654,100.46,72.93,173.39,175.00,99.08%,31.2,,,,,100462298,72929590,173391888,175000000
Fantastic Four: Rise of the Silver Surfer,Fox,35,55,Monster Force,Action,3959,14663,131.92,157.13,289.05,130.00,222.34%,58,,,,,131921738,157126025,289047763,130000000
Ghost Rider,Sony,28,56,Monster Force,Action,3619,12541,115.80,112.94,228.74,110.00,207.94%,45.3,,,,,115802596,112935797,228738393,110000000
Good Luck Chuck,Lionsgate,3,61,Love,Comedy,2612,5226,35.02,24.17,59.19,25.00,236.77%,13.7,,,,,$35017297,24174831,$59192128,25000000
Grindhouse,The Weinstein Company,82,86,pursuit,Action,2624,4419,25.04,25.16,50.19,53.00,94.71%,11.6,,,,,$25037897,25156752,$50194649,53000000
Hairspray,Warner Bros.,92,84,Underdog,Musical,3121,8803,118.87,83.68,202.55,75.00,270.06%,27.5,,,,,118871849,83676726,202548575,75000000
Halloween,The Weinstein Company,26,64,Pursuit,Horror,3472,7592,58.27,20.20,78.47,20.00,392.35%,26.4,,,,,58272029,20197855,78469884,20000000
Happily N'Ever After,Lionsgate,4,43,Maturation,Animation,2381,2775,15.59,22.50,38.08,47.00,81.03%,6.6,,,,,$15589393,22495398,$38084791,47000000
Harry Potter and the Order of the Phoenix,Warner Bros.,78,82,Quest,Adventure,4285,17998,292,647.88,939.88,150,626.59%,77.1,,,,,,,0,
Hitman,Fox,15,61,Quest,Action,2458,5362,39.69,60.28,99.96,17.50,571.22%,13.2,,,,,39687694,60276289,99963983,24000000
Hostel: Part II,Lionsgate,44,45,Escape,Horror,2350,3490,17.61,18.01,35.62,10.00,356.20%,8.2,,,,,$17609452,18010069,$35619521,10000000
I Am Legend,Warner Bros.,69,69,Quest,Thriller,3606,21411,256.39,327.76,584.16,150.00,389.44%,77.2,,,,,256393010,327762415,584155425,150000000
I Now Pronounce You Chuck and Larry,Universal,13,73,Comedy,Comedy,3495,9795,120.06,65.99,186.05,85.00,218.89%,34.2,,,,,120059556,65994618,186054174,85000000
In the Land of Women,Warner Bros.,43,72,Transformation,Comedy,2155,2186,11.05,6.51,17.56,10.00,175.62%,4.7,,,,,$11052958,6509113,$17562071,10000000
Into the Wild,Paramount,82,90,quest,Drama,658,3249,18.35,37.28,55.63,15.00,370.90%,2.1,,,,,$18354356,37280210,$55634566,15000000
Juno,Fox,94,89,Maturation,Comedy,1019,10436,143.50,87.69,231.18,7.50,3082.46%,10.6,Original Screenplay,Original Screenplay,,,143495265,87688908,231184173,7500000
Knocked Up,Universal,91,83,Love,Comedy,2871,10690,148.77,70.23,219.00,33.00,663.64%,30.7,,,,,148768917,70232344,219001261,33000000
License to Wed,Warner Bros.,8,55,Love,Comedy,2604,4002,43.80,25.51,69.31,35.00,198.02%,10.4,,,,,43799818,25507406,69307224,35000000
Lions for Lambs,Independent,27,48,Quest,Drama,2215,3025,15.00,48.21,63.21,35.00,180.60%,6.7,,,,,$15000115,48209103,$63209218,35000000
Live Free or Die Hard,Fox,79,86,Rescue,Action,3408,9791,134.53,249.00,383.53,110.00,348.66%,33.4,,,,,134529403,249002043,383531446,110000000
Meet the Robinsons,Disney,66,75,Quest,Animation,3413,7361,97.82,71.51,169.33,100.00,169.33%,25.1,,,,,97822171,71510807,169332978,100000000
Michael Clayton,Independent,90,72,Transformation,Thriller,2511,4131,49.03,43.96,92.99,25.00,371.97%,10.4,Supporting Actress,Supporting Actress,,,49033882,43957953,92991835,25000000
Mr. Brooks,MGM,56,75,Temptation,Thriller,2453,4083,28.55,19.57,48.12,20.00,240.61%,10,,,,,$28549298,19572602,$48121900,20000000
Mr. Magorium's Wonder Emporium,Independent,36,56,Transformation,Fantasy,3164,3043,32.06,36.89,68.95,25.00,275.79%,9.63,,,,,$32061555,36886258,$68947813,25000000
Music and Lyrics,Warner Bros.,63,70,Love,Romance,,,50.57,95.32,145.90,40.00,364.74%,13.6,,,,,50572589,95323833,145896422,40000000
Nancy Drew,Independent,49,61,The Riddle,Thriller,2612,2615,25.61,5.05,30.67,20.00,153.33%,6.9,,,,,$25612520,5054410,$30666930,20000000
National Treasure: Book of Secrets,Disney,31,72,The Riddle,Thriller,3832,11686,219.96,237.40,457.36,130.00,351.82%,44.8,,,,,219964115,237400485,457364600,130000000
Next,Paramount,29,59,Pursuit,Thriller,2725,2617,18.21,55.33,73.54,70.00,105.06%,7.1,,,,,$18211013,55330487,$73541500,70000000
No Country for Old Men,Paramount,95,84,Pursuit,Drama,860,9042,74.28,86.72,161.00,25.00,644.00%,7.8,"Best Picture, Director, Supporting Actor, Adapted Screenplay","Supporting Actor, Director",,,74283625,86715832,160999457,25000000
No Reservations,,39,64,Love,Comedy,2425,4826,43.11,49.49,92.60,28.00,330.72%,11.7,,,,,43107979,49493071,92601050,28000000
Norbit,Paramount,9,56,Comedy,Comedy,3136,10904,95.67,63.64,159.31,60.00,265.52%,34.2,,,,,95673607,63639954,159313561,60000000
Ocean's 13,Warner Bros.,70,74,Revenge,Thriller,3565,10135,117.15,194.16,311.31,85.00,366.25%,36.1,,,,,117154724,194157900,311312624,85000000
P.S. I Love You,Independent,21,82,Love,Romance,2454,2641,53.70,99.40,153.09,30.00,510.31%,6.5,,,,,53695808,99397697,153093505,30000000
Pathfinder: Legend of the Ghost Warrior,,11,41,Rescue,Action,1720,2907,10.23,20.59,30.82,26.00,118.55%,5,,,,,$10232081,20590780,$30822861,26000000
Pirates of the Caribbean: At World's End,Disney,45,74,Rescue,Action,4362,26302,309.42,651.58,961.00,300.00,320.33%,114.7,,,,,309420425,651576067,960996492,300000000
Premonition,Sony,8,55,The Riddle,Drama,2831,6202,47.85,36.14,84.00,20.00,419.98%,17.6,,,,,47852604,36143751,83996355,20000000
Ratatouille,Disney,97,84,Transformation,Animation,3940,11935,206.45,414.98,621.42,150.00,414.28%,47,Animated,Animated,,,206445654,414979184,621424838,150000000
Rush Hour 3,Warner Bros.,20,68,Rescue,Action,3778,12996,140.13,117.90,258.02,140.00,184.30%,49.1,,,,,140125968,117896265,258022233,140000000
Saw IV,Independent,18,70,Escape,Horror,3183,9976,63.30,76.05,139.35,10.00,1393.53%,31.7,,,,,63300095,76052538,139352633,10000000
Shoot 'Em Up,Warner Bros.,67,66,Pursuit,Action,2108,2711,12.81,14.00,26.81,39.00,68.74%,5.7,,,,,$12807139,14000000,$26807139,39000000
Shooter,Paramount,47,82,Pursuit,Action,2806,5175,47.00,48.69,95.70,61.00,156.88%,14.5,,,,,47003582,48693414,95696996,61000000
Shrek the Third,Paramount,42,57,Quest,Animation,4122,29507,322.72,476.24,798.96,160.00,499.35%,121.6,,,,,322719944,476238221,798958165,160000000
Sicko,The Weinstein Company,93,87,quest,Documentary,702,5128,24.54,11.23,35.77,9.00,397.42%,3.6,,,,,$24540079,11227679,$35767758,9000000
